Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
1836,UNK,1 S WASHINGTON CENTER,WHITLEY,IN,41.03,-85.51,ROOF BLOWN OFF FIRE STATION AND RADIO TOWER BLOWN DOWN IN SAME LOCATION. THUNDERSTORM WIND DAMAGE WIDESPREAD THROUGHOUT THE COUNTY. (IWX),,
1838,65,5 SSW LEO-CEDARVILLE,ALLEN,IN,41.15,-85.05,(IWX),,
1840,60,2 NE WABASH,WABASH,IN,40.82,-85.8,MEASURED AT WABASH COUNTY CENTRAL DISPATCH (IWX),,
1840,70,2 NW BUNKER HILL,MIAMI,IN,40.68,-86.13,ESTIMATED 70 MPH WIND GUST NEAR GRISSOM AFB. SHINGLES BLOW OFF OF A ROOF. (IWX),,
1840,UNK,COLLINS,WHITLEY,IN,41.2,-85.39,MULTIPLE TREES DOWN ALONG 205 IN WHITLEY COUNTY. HEALTHY TREES UP TO 5 FEET IN DIAMETER SNAPPED AT BASE IN COLLINS (IWX),,
1840,UNK,DELPHI,CARROLL,IN,40.58,-86.67,TREES AND POWER LINES REPORTED DOWN AT SEVERAL SPOTS ACROSS THE COUNTY. TIME ESTIMATED FROM RADAR DATA. (IND),,
1841,UNK,3 W MENTONE,FULTON,IN,41.17,-86.09,SEVERAL LARGE BRANCHES DOWN AND ONE TREE DOWN NEAR MENTONE ON STATE ROAD 19 (IWX),,
1842,UNK,3 SSW ANDREWS,HUNTINGTON,IN,40.83,-85.62,TREE DOWN ON DIVISION ROAD AND ON 300W NEAR 1100 N (IWX),,
1843,64,COLUMBIA CITY,WHITLEY,IN,41.16,-85.49,LARGE UPROOTED TREE WITH 64 MPH WIND GUST (IWX),,
1845,UNK,AMBOY,MIAMI,IN,40.6,-85.93,TREE BRANCHES DOWN BLOCKING SECONDARY ROADS IN THE TOWN OF AMBOY (IWX),,
1850,UNK,ASHLEY,DEKALB,IN,41.53,-85.07,REPORT OF TREES UPROOTED AND LIMBS DOWN IN ASHLEY. TIME ESTIMATED FROM RADAR. (IWX),,
1850,UNK,LAOTTO,NOBLE,IN,41.29,-85.2,LARGE TREE ACROSS 205. ROAD CLOSED. (IWX),,
1850,UNK,3 NE NINE MILE,ALLEN,IN,41.01,-85.19,30 TREES DOWN IN ONE PARK MANY CLOSE TO 2 FEET IN DIAMETER. 3 OF THE TREES FELL ON CARS. (IWX),,
1854,91,5 SW FORT WAYNE,ALLEN,IN,40.98,-85.19,MEASURED 91 MPH GUST AT FORT WAYNE INTERNATIONAL AIRPORT (IWX),,
1858,UNK,LIBERTY CENTER,WELLS,IN,40.7,-85.28,TREES AND POWER LINES DOWN (IWX),,
1900,64,1 W MARION,GRANT,IN,40.56,-85.68,AT CORNER OF SR18 AND 325W. ALSO FLAGPOLES DOWN IN MARION. (IWX),,
1900,88,5 NE FORT WAYNE,ALLEN,IN,41.13,-85.07,SIDING BLOWN OFF HOUSES...LARGE OAK TREE LIMBS DOWN...PEA SIZED HAIL AS WELL (IWX),,
1900,UNK,FORT WAYNE,ALLEN,IN,41.08,-85.13,WIDESPREAD DAMAGE ACROSS THE FORT WAYNE AREA...INCLUDING TREE LIMBS...DOWNED TREES AND POWER LINES DOWN. (IWX),,
1902,UNK,2 N GRABILL,ALLEN,IN,41.24,-84.97,TREES DOWN. (IWX),,
1905,72,1 SW NEW HAVEN,ALLEN,IN,41.06,-85.03,(IWX),,
1905,UNK,DECATUR,ADAMS,IN,40.83,-84.93,MASSIVE DAMAGE THROUGH THE ENTIRE NORTH PART OF ADAMS COUNTY WITH INTERMITTENT DAMAGE THROUGHOUT. SMALL FIRES...TRUCKS BLOWN OVER...TREES DOWN...AND ROOFS BLOWN OFF IN (IWX),,
1905,UNK,3 E SHARPSVILLE,TIPTON,IN,40.38,-86.03,POWER OUT AT TRI-CENTRAL HIGH SCHOOL (IND),,
1905,UNK,4 NE FORT WAYNE,ALLEN,IN,41.12,-85.08,8-10 INCH TREE LIMBS DOWN. 30 FEET OF WOODEN FENCE BLOWN DOWN. 8 FOOT BY 12 FOOT SHED TURNED OVER. (IWX),,
1907,58,GAS CITY,GRANT,IN,40.49,-85.61,(IWX),,
1908,58,2 SE BLUFFTON,WELLS,IN,40.72,-85.14,TREES DOWN (IWX),,
1908,UNK,HARTFORD CITY,BLACKFORD,IN,40.45,-85.37,WINDOWS BLOWN IN THROUGHOUT COUNTY. ROOFS BLOWN OFF OF BARNS. TENT DOWN AT THE FAIRGROUNDS. 3 TO 5 FOOT TREES DOWN. SHINGLES BLOWN OFF ROOFS. SIDING OFF BUILDINGS. WELC (IWX),,
1908,UNK,MONROEVILLE,ALLEN,IN,40.97,-84.87,WIDESPREAD TREE DAMAGE. NO POWER IN TOWN. (IWX),,
1913,UNK,KOKOMO,HOWARD,IN,40.48,-86.13,TREES AND POWER LINES DOWN (IND),,
1915,63,3 E SAINT JOHNS,DE KALB,IN,41.31,-85.06,(IWX),,
1915,65,2 E DECATUR,ADAMS,IN,40.83,-84.9,(IWX),,
1917,UNK,ANTWERP,PAULDING,OH,41.18,-84.74,WIDESPREAD LARGE TREES DOWN. POSSIBLE STRUCTURAL DAMAGE IN TOWN. (IWX),,
1920,59,2 WNW CONVOY,VAN WERT,OH,40.93,-84.74,(IWX),,
1920,UNK,SHARPSVILLE,TIPTON,IN,40.38,-86.09,*** 1 INJ *** TREE FELL ON TRRUCK AT 300 WEST AND 700 NORTH CAUSING INJURY TO OCCUPANTS. TIME ESTIMATED. REPORT VIA ESPOTTER. UNKNOWN NUMBER OF INJURIES...BUT REPORT IM (IND),,
1920,UNK,WINDFALL,TIPTON,IN,40.36,-85.96,EMPTY 500 GALLON CAPACITY WATER TANK BLOWN APPROX 1000 FEET (IND),,
1920,UNK,WINDFALL,TIPTON,IN,40.36,-85.96,EMPTY 500 GALLON CAPACITY WATER TANK BLOWN APPROX 1000 FEET. NICKEL SIZE HAIL ALSO REPORTED. (IND),,
1922,84,PAULDING,PAULDING,OH,41.14,-84.58,MEASURED IN THE TOWN OF PAULDING (IWX),,
1925,76,2 WSW ANTWERP,PAULDING,OH,41.17,-84.77,(IWX),,
1930,UNK,CAYUGA,VERMILLION,IN,39.95,-87.46,POWER LINE DOWN. TIME ESTIMATED VIA RADAR. (IND),,
1930,UNK,MUNCIE,DELAWARE,IN,40.2,-85.39,TREES DOWNED AT WASHINGTON AND DICKS STREET WITH GUST FRONT. TIME APPROXIMATED TO BE 330 PM BY SPOTTER. (IND),,
1930,UNK,ROCKFORD,MERCER,OH,40.69,-84.65,CHURCH STEEPLE KNOCKED OVER. POWER LINES ALSO DOWN. (ILN),,
1930,UNK,ROCKFORD,MERCER,OH,40.69,-84.65,SEVERAL BUILDINGS WITH STRUCTURAL DAMAGE. ROOF PARTIALLY TORN OFF ALONG SOUTH MAIN STREET. 2 FOOT DIAMETER TREE BLOCKING ROUTE 118 ON THE SOUTH END OF ROCKFORD. (ILN),,
1930,UNK,3 NE FISHERS,HAMILTON,IN,39.98,-85.98,POWER OUT FROM OUTFLOW WINDS AT SR37 AND 146TH ST. (IND),,
1931,UNK,LAOTTO,NOBLE,IN,41.29,-85.2,LARGE TREE ACROSS 205. ROAD CLOSED. (IWX),,
1932,80,VERSAILLES,DARKE,OH,40.22,-84.48,(ILN),,
1935,64,3 NNW CONVOY,VAN WERT,OH,40.95,-84.73,(IWX),,
1935,UNK,5 N CLINTON,VERMILLION,IN,39.73,-87.4,TREES DOWN IN HILLSDALE. TIME ESTIMATED BY RADAR. (IND),,
1936,UNK,DELPHOS,ALLEN,OH,40.84,-84.34,80 FOOT PINE TREE SNAPPED 20 FEET UP. CORNER OF 7TH STREET AND MAIN STREET. (IWX),,
1936,UNK,LIMA,ALLEN,OH,40.74,-84.11,80 FOOT PINE TREE SNAPPED 20 FEET UP. CORNER OF 7TH STREET AND MAIN STREET. (IWX),,
1937,83,4 ESE COLDWATER,MERCER,OH,40.47,-84.56,MEASURED ALONG GUADALUPE RD. (ILN),,
1937,UNK,ST. MARYS,AUGLAIZE,OH,40.54,-84.39,SEVERAL POWER AND PHONE POLES DOWN. ROOF TORN OFF A MOBILE HOME. (ILN),,
1937,UNK,VAN WERT,VAN WERT,OH,40.87,-84.58,HUNDREDS OF TREES DOWN COUNTYWIDE...WIDESPREAD POWER OUTAGES WITH ROOFS OFF OF MANY HOMES. CARS AND TRUCKS FLIPPED ACROSS PORTIONS OF THE COUNTY. (IWX),,
1937,UNK,1 SW ST. MARYS,AUGLAIZE,OH,40.53,-84.4,18 FOOT BOAT DOCKED ON EAST END OF LAKE ST. MARYS LIFTED AND BLOWN ONTO ROADWAY. (ILN),,
1939,60,1 S ALEXANDRIA,MADISON,IN,40.24,-85.68,(IND),,
1940,UNK,CELINA,MERCER,OH,40.55,-84.57,*** 1 INJ *** DAMAGE TO A STAGE AT A FESTIVAL IN DOWNTOWN CELINA. ONE STAGE CREW MEMBER INJURED. (ILN),,
1940,UNK,NEW KNOXVILLE,AUGLAIZE,OH,40.49,-84.32,WIND DAMAGE THROUGHOUT WESTERN AUGLAIZE COUNTY...FROM ST. MARYS TO NEW KNOXVILLE TO NEW BREMEN. SEVERAL LARGE TREES DOWN AND ROOF DAMAGE TO SOME BUILDINGS. (ILN),,
1941,60,MUNCIE,DELAWARE,IN,40.2,-85.39,VERY HEAVY RAIN. (IND),,
1941,UNK,CICERO,HAMILTON,IN,40.12,-86.02,2 SEPARATE TREES DOWN ON 2 SEPARATE (IND),,
1942,82,1 W WAPAKONETA,AUGLAIZE,OH,40.57,-84.21,(ILN),,
1942,UNK,CELINA,MERCER,OH,40.55,-84.57,ROOF OF STRUCTURE DAMAGED AND TREE DOWN ON CAMPER WITH ONE MINOR INJURY. EVENT OCCURRED AT FAIRGROUNDS. CORRECTED TIME. (ILN),,
1942,UNK,CELINA,MERCER,OH,40.55,-84.57,SEVERAL LARGE LIMBS AND POWER POLES DOWN WITHIN IN THE CITY OF CELINA. (ILN),,
1942,UNK,1 W WAPAKONETA,AUGLAIZE,OH,40.57,-84.21,TRACTOR TRAILER ROLLED OVER ALONG ROUTE 33 NEAR KETTLERSVILLE ROAD. (ILN),,
1944,76,2 WSW ANTWERP,PAULDING,OH,41.17,-84.77,MEASURED ON US24 AT THE INDIANA STATE LINE. (IWX),,
1945,60,INDIANAPOLIS,MARION,IN,39.78,-86.15,MEASURED 60 MPH GUST WITH GUST FRONT. LARGE TREE DOWN ON BUTLER UNIVERSITY CAMPUS ALONG WITH TENTS BLOWN OVER. TIME ESTIMATED FROM RADAR. (IND),,
1945,60,INDIANAPOLIS,MARION,IN,39.78,-86.15,MEASURED 60 MPH GUST WITH GUST FRONT. TWO LARGE TREES DOWNED ON BUTLER UNIVERSITY CAMPUS ACROSS 49TH STREET. SEVERAL TENTS ALSO BLOWN OVER. TIME ESTIMATED FROM RADAR. (IND),,
1945,64,3 NNW CONVOY,VAN WERT,OH,40.95,-84.73,(IWX),,
1945,UNK,ST. MARYS,AUGLAIZE,OH,40.54,-84.39,LARGE BRANCHES BROKEN. TIME ESTIMATED FROM RADAR. (ILN),,
1945,UNK,YORKSHIRE,DARKE,OH,40.33,-84.5,TREES DOWN. TIME ESTIMATED FROM RADAR. (ILN),,
1945,UNK,1 NW LIMA,ALLEN,OH,40.75,-84.12,MULTIPLE TREES DOWN ALONG KEMP RD. SHINGLES BLOWN OFF MANY ROOFS IN THE AREA. (IWX),,
1945,UNK,3 SE RIDGEVILLE,RANDOLPH,IN,40.26,-84.99,SHINGLES BLOWN OFF GARAGE ROOF. ESTIMATED 65-70 MPH WINDS. (IND),,
1945,UNK,3 SE RIDGEVILLE,RANDOLPH,IN,40.26,-84.99,SHINGLES BLOWN OFF GARAGE ROOF (IND),,
1946,UNK,2 E ANDERSON,MADISON,IN,40.09,-85.65,MINOR TREE LIMBS DOWN (IND),,
1947,UNK,NEW CASTLE,HENRY,IN,39.92,-85.36,ROOF OF BUILDING BLOWN DOWN NEAR 9TH AND NEW YORK (IND),,
1948,UNK,10 SW NEW CASTLE,HENRY,IN,39.82,-85.5,BARN BLOWN OVER. EVENT TIME ESTIMATED FROM RADAR. (IND),,
1949,63,KAXV WAPAKONETA APT,AUGLAIZE,OH,40.49,-84.3,(ILN),,
1949,UNK,4 W LIMA,ALLEN,OH,40.74,-84.18,BOAT DRIVEN INTO ROCKS. BOAT WAS TAKING ON WATER. MAN WAS RESCUED BY THE FIRE DEPARTMENT. ON BRESLER LAKE. (IWX),,
1950,UNK,FORT LORAMIE,SHELBY,OH,40.35,-84.37,TREES DOWN (ILN),,
1950,UNK,N BUCKLAND,AUGLAIZE,OH,40.62,-84.26,VERY LARGE LIMBS BROKEN. TIME ESTIMATED. (ILN),,
1950,UNK,WAPAKONETA,AUGLAIZE,OH,40.57,-84.19,TREES DOWN. TIME ESTIMATED FROM RADAR. (ILN),,
1950,UNK,1 SW WAPAKONETA,AUGLAIZE,OH,40.56,-84.21,11 TREES DOWNED AT THE AUGLAIZE COUNTY FAIRGROUNDS. (ILN),,
1950,UNK,2 NW RICE,DEFIANCE,OH,41.17,-84.32,REPORT OF A SECOND STORY COLLAPSE OF A HOME AND A BLOWN DOWN BARN IN THE EXTREME SOUTHEAST PORTION OF DEFIANCE COUNTY. TIME ESTIMATED FROM RADAR. (IWX),,
1950,UNK,3 SSW LEIPSIC,PUTNAM,OH,41.06,-84,OHIO 109 CLOSED FROM OTTAWA TO OHIO 613 DUE TO WIND DAMAGE. (IWX),,
1951,UNK,W WAPAKONETA,AUGLAIZE,OH,40.57,-84.2,*** 1 INJ *** A WOMAN WAS STRUCK BY A FALLING TREE LIMB NEAR THE AUGLAIZE COUNTY PUBLIC LIBRARY. (ILN),,
1952,74,KAXV WAPAKONETA APT,AUGLAIZE,OH,40.49,-84.3,(ILN),,
1952,UNK,E WAPAKONETA,AUGLAIZE,OH,40.57,-84.19,*** 1 INJ *** GLASS WINDOWS BLOWN IN AT AN AUTOMOTIVE DEALERSHIP. ONE PERSON WAS INJURED BY THE GLASS. (ILN),,
1954,UNK,GREENVILLE,DARKE,OH,40.1,-84.62,LARGE LIMBS DOWN. ESTIMATED 70-75 MPH WINDS. (ILN),,
1955,73,NAPOLEON,HENRY,OH,41.39,-84.13,TREE LIMBS DOWN AND PEA SIZED HAIL (IWX),,
1955,78,COLUMBUS GROVE,PUTNAM,OH,40.92,-84.06,SWING SET DESTROYED (IWX),,
1955,UNK,1 S OTTAWA,PUTNAM,OH,41,-84.05,ROOF BLOWN OFF FACTORY. TREES UPROOTED. (IWX),,
1958,UNK,SIDNEY,SHELBY,OH,40.29,-84.16,3-4 INCH LIMBS DOWN. (ILN),,
1958,UNK,SIDNEY,SHELBY,OH,40.29,-84.16,4.5-6 INCH LIMBS DOWN. ALSO PEA SIZE HAIL. (ILN),,
1959,UNK,1 NE PIQUA,MIAMI,OH,40.16,-84.23,SEVERAL RVS WERE BLOWN OVER AT A DEALERSHIP. A ROOF OF A SHOW ROOM WAS SIGNIFICANTLY DAMAGED. (ILN),,
1959,UNK,1 NNW PIQUA,MIAMI,OH,40.16,-84.26,*** 1 INJ *** A TREE WAS DOWNED ON A PICKUP TRUCK. ONE PERSON IN THE TRUCK WAS INJURED. (ILN),,
2000,60,LIMA,ALLEN,OH,40.74,-84.11,POWER LINES AND SMALL LIMBS DOWN THROUGHOUT TOWN (IWX),,
2000,70,ADA,HARDIN,OH,40.77,-83.82,(ILN),,
2000,70,BEAVERCREEK,GREENE,OH,39.73,-84.06,1 FOOT DIAMETER TREE SNAPPED. (ILN),,
2000,UNK,ADA,HARDIN,OH,40.77,-83.82,LARGE TREE BRANCHES DOWN. (ILN),,
2002,60,GREENFIELD,HANCOCK,IN,39.79,-85.77,(IND),,
2002,61,1 W SIDNEY,SHELBY,OH,40.29,-84.18,(ILN),,
2002,UNK,MUNCIE,DELAWARE,IN,40.2,-85.39,TREES...TREE LIMBS AND POWER LINES NEAR 28 AND HWY 3 (IND),,
2002,UNK,NEW MADISON,DARKE,OH,39.97,-84.71,NUMEROUS TREES,BRANCHES,AND POWER POLES DOWN (ILN)
2002,UNK,RICHMOND,WAYNE,IN,39.83,-84.89,AT LEAST 2 REPORTS OF ROOFS BLOWN OFF BUILDINGS IN RICHMOND. NUMEROUS REPORTS OF TREES,LIMBS AND POWER LINES DOWN IN WAYNE COUNTY. (ILN),
2003,63,1 S KENTON,HARDIN,OH,40.63,-83.61,(ILN),,
2004,UNK,NEW PARIS,PREBLE,OH,39.86,-84.79,NUMEROUS TREES AND LARGE LIMBS DOWN (ILN),,
2005,UNK,KENTON,HARDIN,OH,40.64,-83.61,NUMEROUS LARGE TREES AND LARGE BRANCHES DOWN. (ILN),,
2005,UNK,WESTFIELD,HAMILTON,IN,40.05,-86.13,ONE TREE DOWN ABOUT 1 FOOT IN DIAMETER (IND),,
2005,UNK,8 NW WINCHESTER,RANDOLPH,IN,40.25,-85.08,SEVERAL BUILDINGS HEAVILY DAMAGED NEAR STATE ROAD 1 AND STATE ROAD 28 (IND),,
2006,UNK,2 E ANDERSON,MADISON,IN,40.09,-85.65,MINOR TREE LIMBS DOWN (IND),,
2008,UNK,PANDORA,PUTNAM,OH,40.95,-83.96,REPORT OF TREE FELL THROUGH HOUSE NEAR PANDORA. TIME ESTIMATED FROM RADAR. (IWX),,
2010,60,INDIANAPOLIS,MARION,IN,39.78,-86.15,TREE LIMBS AND TENTS BLOWN DOWN ON BUTLER CAMPUS (IND),,
2010,64,3 SE NEW BAVARIA,HENRY,OH,41.17,-84.13,(IWX),,
2010,UNK,MCCOMB,HANCOCK,OH,41.11,-83.79,8-10 INCH TREE DOWN. (CLE),,
2013,UNK,ST. PARIS,CHAMPAIGN,OH,40.13,-83.96,ROOF DAMAGE THROUGHOUT THE CITY. (ILN),,
2014,UNK,ENGLEWOOD,MONTGOMERY,OH,39.86,-84.31,SEVERAL LARGE TREE BRANCHES DOWN. (ILN),,
2014,UNK,KENTON,HARDIN,OH,40.64,-83.61,NUMEROUS TREES DOWN...SOME ON CARS. (ILN),,
2014,UNK,2 ENE ST. PARIS,CHAMPAIGN,OH,40.14,-83.93,A LARGE TREE WAS DOWNED IN SPRING GROVE CEMETERY. (ILN),,
2015,70,FINDLAY,HANCOCK,OH,41.04,-83.64,PENNY HAIL. (CLE),,
2015,UNK,BELLEFONTAINE,LOGAN,OH,40.36,-83.76,LARGE BRANCHES BROKEN. TIME ESTIMATED FROM RADAR. (ILN),,
2015,UNK,BELLEFONTAINE,LOGAN,OH,40.36,-83.76,LARGE TREE BRANCHES DOWN. (ILN),,
2015,UNK,FINDLAY,HANCOCK,OH,41.04,-83.64,NUMEROUS TREES DOWN. (CLE),,
2015,UNK,FINDLAY,HANCOCK,OH,41.04,-83.64,STURCTURES DAMAGED IN FINDLAY WITH ROOFS BLOWN OFF. (CLE),,
2015,UNK,JENERA,HANCOCK,OH,40.9,-83.73,TREES DOWN. (CLE),,
2015,UNK,KENTON,HARDIN,OH,40.64,-83.61,SIDING OFF HOMES...NUMEROUS TRESS DOWN (ILN),,
2015,UNK,RICHMOND,WAYNE,IN,39.83,-84.89,WIDESPREAD TREE DAMAGE. POWERLINES DOWN. ROOF OFF A SCHOOL AND HOUSE ROOF DAMAGE IN RICHMOND. (ILN),,
2015,UNK,1 N BELLEFONTAINE,LOGAN,OH,40.38,-83.75,LARGE BRANCH BLOCKING US 33/68 EXIT RAMP. ALSO WATER PONDED HERE. OTHER LARGE LIMBS DOWN IN AREA. (ILN),,
2015,UNK,7 S FINDLAY,HANCOCK,OH,40.94,-83.64,TREES DOWN. BARN BLOWN OVER. (CLE),,
2016,70,KDAY DAYTON COX APT,MONTGOMERY,OH,39.9,-84.22,(ILN),,
2017,UNK,INDIANAPOLIS,MARION,IN,39.78,-86.15,POWER LINES DOWN (IND),,
2017,UNK,INDIANAPOLIS,MARION,IN,39.78,-86.15,POWER LINES DOWN RESUTLING IN TRAFFIC LIGHT OUTAGE AT 38TH AND CENTRAL AVE. REPORTED VIA TWITTER. (IND),,
2018,82,KDAY DAYTON COX APT,MONTGOMERY,OH,39.9,-84.22,(ILN),,
2018,UNK,SSW LIBERTY,UNION,IN,39.63,-84.93,A LARGE TREE WAS DOWNED ON MAIN STREET IN LIBERTY. (ILN),,
2019,UNK,CAMBRIDGE CITY,WAYNE,IN,39.81,-85.17,TREES AND POWER LINES DOWN FROM DUBLIN TO CAMBRIDGE CITY. (ILN),,
2019,UNK,EATON,PREBLE,OH,39.75,-84.63,POWER POLE AND LINE DOWN ON SR 122 WEST DUE TO A TREE ON IT. NUMEROUS TREE LIMBS DOWN IN TOWN. TIME OF DAMAGE ESTIMATED FROM RADAR. (ILN),,
2019,UNK,3 SW LIBERTY,UNION,IN,39.61,-84.97,NUMEROUS TREES DOWNED IN WHITEWATER MEMORIAL STATE PARK. (ILN),,
2020,63,HUBER HEIGHTS,MONTGOMERY,OH,39.86,-84.11,(ILN),,
2020,UNK,BELLEFONTAINE,LOGAN,OH,40.36,-83.76,NUMEROUS TREES DOWN AND ROOF DAMAGE TO SEVERAL BUILDINGS. (ILN),,
2020,UNK,FINDLAY,HANCOCK,OH,41.04,-83.64,4 OR 5 SEMI TRUCKS BLOWN OVER ON I-75 BETWEEN FINDLAY AND BLUFFTON. TREES DOWN. (CLE),,
2020,UNK,HUBER HEIGHTS,MONTGOMERY,OH,39.86,-84.11,TREE DOWN ON A CAR AND LARGE BRANCHES DOWN. POWER OUT (ILN),,
2021,UNK,EATON,PREBLE,OH,39.75,-84.63,LARGE TREES DOWN (ILN),,
2023,UNK,1 NNE LAWRENCEVILLE,CLARK,OH,40,-83.87,NUMEROUS TREES AND POWER LINES DOWN IN GERMAN TOWNSHIP (ILN),,
2023,UNK,5 W BEAVERCREEK,MONTGOMERY,OH,39.74,-84.16,MULTIPLE LARGE TREE LIMBS DOWNED IN THE WALNUT HILLS NEIGHBORHOOD OF DAYTON. (ILN),,
2024,80,1 NE BELLEFONTAINE,LOGAN,OH,40.37,-83.74,OHIO DOT SENSOR. (ILN),,
2024,UNK,NORTH LEWISBURG,CHAMPAIGN,OH,40.22,-83.56,STRUCTURAL DAMAGE. TIME CORRECTED FROM AM TO PM. (ILN),,
2025,75,DAYTON,MONTGOMERY,OH,39.78,-84.2,(ILN),,
2025,84,FINDLAY,HANCOCK,OH,41.04,-83.64,(CLE),,
2025,UNK,FOREST,HARDIN,OH,40.8,-83.51,TREES DOWN. TIME CORRECTED FROM AM TO PM. (ILN),,
2025,UNK,2 SW KIRBY,WYANDOT,OH,40.79,-83.45,DAMAGE OCCURRED ACROSS MUCH OF JACKSON TOWNSHIP IN SOUTHWEST WYANDOT COUNTY. THE ROOF WAS BLOWN OFF OF A COUPLE OF BARNS. ROOF SHINGLES AND SHEET METAL WAS BLOWN OFF SE (CLE),,
2027,UNK,NORTH LEWISBURG,CHAMPAIGN,OH,40.22,-83.56,NUMEROUS 4 INCH PLUS LIMBS DOWN. DAMAGE TO SMALL SHED. (ILN),,
